Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Лучшие годы нашей жизни,The Best Years of Our Lives,1946,170,США,драма,Уильям Уайлер,7.8,https://www.kinopoisk.ru/film/429/
Олененок,The Yearling,1946,128,США,драма,Кларенс Браун,6.9,https://www.kinopoisk.ru/film/11862/
Король Генрих V,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944,137,Великобритания,драма,Лоуренс Оливье,6.8,https://www.kinopoisk.ru/film/8392/
На краю лезвия,The Razor's Edge,1946,145,США,драма,Эдмунд Гулдинг,6.8,https://www.kinopoisk.ru/film/13443/
Потерянный уик-энд,The Lost Weekend,1945,101,США,драма,Билли Уайлдер,7.8,https://www.kinopoisk.ru/film/7674/
Завороженный,Spellbound,1945,111,США,фильм-нуар,Альфред Хичкок,7.7,https://www.kinopoisk.ru/film/950/
Милдред Пирс,Mildred Pierce,1945,111,США,фильм-нуар,Майкл Кёртиц,7.6,https://www.kinopoisk.ru/film/8292/
Поднять якоря,Anchors Aweigh,1945,140,США,мюзикл,Джордж Сидни,7.6,https://www.kinopoisk.ru/film/12510/
Колокола Святой Марии,The Bells of St. Mary's,1945,126,США,драма,Лео МакКери,6.6,https://www.kinopoisk.ru/film/949/
Двойная страховка,Double Indemnity,1944,107,США,фильм-нуар,Билли Уайлдер,7.9,https://www.kinopoisk.ru/film/364/
Газовый свет,Gaslight,1944,114,США,фильм-нуар,Джордж Кьюкор,7.8,https://www.kinopoisk.ru/film/951/
"С тех пор, как ты ушел",Since You Went Away,1944,177,США,драма,Джон Кромуэлл,6.9,https://www.kinopoisk.ru/film/10427/
Идти своим путем,Going My Way,1944,126,США,драма,Лео МакКери,6.9,https://www.kinopoisk.ru/film/7675/
Уилсон,Wilson,1944,154,США,драма,Генри Кинг,5.7,https://www.kinopoisk.ru/film/19159/
Касабланка,Casablanca,1942,103,США,драма,Майкл Кёртиц,8.0,https://www.kinopoisk.ru/film/330/
Случай в Окс-Боу,The Ox-Bow Incident,1942,75,США,драма,Уильям А. Уэллмен,7.5,https://www.kinopoisk.ru/film/8451/
По ком звонит колокол,For Whom the Bell Tolls,1943,170,США,драма,Сэм Вуд,7.1,https://www.kinopoisk.ru/film/952/
Песня Бернадетт,The Song of Bernadette,1943,156,США,драма,Генри Кинг,7.1,https://www.kinopoisk.ru/film/1157/
Небеса могут подождать,Heaven Can Wait,1943,112,США,фэнтези,Эрнст Любич,6.9,https://www.kinopoisk.ru/film/19111/
"Чем больше, тем веселее",The More the Merrier,1943,104,США,мелодрама,Джордж Стивенс,6.8,https://www.kinopoisk.ru/film/14144/
Мадам Кюри,Madame Curie,1943,124,США,биография,Мервин ЛеРой,6.5,https://www.kinopoisk.ru/film/17399/
В котором мы служим,In Which We Serve,1942,114,Великобритания,драма,Ноэл Кауард,6.4,https://www.kinopoisk.ru/film/18696/
Дозор на Рейне,Watch on the Rhine,1943,114,США,драма,Герман Шумлин,6.0,https://www.kinopoisk.ru/film/13375/
Человеческая комедия,The Human Comedy,1943,117,США,драма,Кларенс Браун,5.8,https://www.kinopoisk.ru/film/10400/
Весь город говорит,The Talk of the Town,1942,118,США,триллер,Джордж Стивенс,7.0,https://www.kinopoisk.ru/film/1005/
Гордость янки,The Pride of the Yankees,1942,128,США,драма,Сэм Вуд,7.0,https://www.kinopoisk.ru/film/3358/
Миссис Минивер,Mrs. Miniver,1942,134,США,драма,Уильям Уайлер,7.0,https://www.kinopoisk.ru/film/7676/
Плоды случайности,Random Harvest,1942,126,США,драма,Мервин ЛеРой,7.0,https://www.kinopoisk.ru/film/27238/
Великолепие Амберсонов,The Magnificent Ambersons,1942,88,США,драма,Орсон Уэллс,6.9,https://www.kinopoisk.ru/film/8554/
49-я параллель,49th Parallel,1941,123,Великобритания,триллер,Майкл Пауэлл,6.7,https://www.kinopoisk.ru/film/15215/
Янки Дудл Денди,Yankee Doodle Dandy,1942,126,США,мюзикл,Майкл Кёртиц,6.4,https://www.kinopoisk.ru/film/8327/
Кингс Роу,Kings Row,1942,127,США,драма,Сэм Вуд,6.3,https://www.kinopoisk.ru/film/10338/
Остров Уэйк,Wake Island,1942,88,США,боевик,Джон Фэрроу,5.8,https://www.kinopoisk.ru/film/10679/
Крысолов,The Pied Piper,1942,87,США,драма,Ирвинг Пичел,5.6,https://www.kinopoisk.ru/film/13449/
Гражданин Кейн,Citizen Kane,1941,119,США,драма,Орсон Уэллс,7.8,https://www.kinopoisk.ru/film/331/
Мальтийский сокол,The Maltese Falcon,1941,100,США,фильм-нуар,Джон Хьюстон,7.7,https://www.kinopoisk.ru/film/366/
Подозрение,Suspicion,1941,99,США,фильм-нуар,Альфред Хичкок,7.4,https://www.kinopoisk.ru/film/1006/
Маленькие лисички,The Little Foxes,1941,116,США,драма,Уильям Уайлер,7.3,https://www.kinopoisk.ru/film/13377/
Как зелена была моя долина,How Green Was My Valley,1941,118,США,драма,Джон Форд,7.1,https://www.kinopoisk.ru/film/1169/
Сержант Йорк,Sergeant York,1941,134,США,драма,Ховард Хоукс,7.0,https://www.kinopoisk.ru/film/3360/
Задержите рассвет,Hold Back the Dawn,1941,116,США,драма,Митчелл Лейзен,6.7,https://www.kinopoisk.ru/film/2083/
А вот и мистер Джордан,Here Comes Mr. Jordan,1941,94,США,фэнтези,Александр Холл,6.4,https://www.kinopoisk.ru/film/3323/
Один шаг в раю,One Foot in Heaven,1941,108,США,драма,Ирвинг Раппер,5.4,https://www.kinopoisk.ru/film/17404/
Цветы в пыли,Blossoms in the Dust,1941,99,США,драма,Мервин ЛеРой,5.1,https://www.kinopoisk.ru/film/10697/
Великий диктатор,The Great Dictator,1940,125,США,драма,Чарльз Чаплин,8.1,https://www.kinopoisk.ru/film/431/
Ребекка,Rebecca,1940,130,США,фильм-нуар,Альфред Хичкок,7.9,https://www.kinopoisk.ru/film/426/
Гроздья гнева,The Grapes of Wrath,1940,129,США,драма,Джон Форд,7.6,https://www.kinopoisk.ru/film/446/
Филадельфийская история,The Philadelphia Story,1940,112,США,мелодрама,Джордж Кьюкор,7.6,https://www.kinopoisk.ru/film/438/
Все это и небо в придачу,"All This, and Heaven Too",1940,141,США,драма,Анатоль Литвак,7.2,https://www.kinopoisk.ru/film/13381/
Иностранный корреспондент,Foreign Correspondent,1940,120,США,боевик,Альфред Хичкок,7.2,https://www.kinopoisk.ru/film/9126/
Письмо,The Letter,1940,95,США,фильм-нуар,Уильям Уайлер,6.9,https://www.kinopoisk.ru/film/8304/
Китти Фойль,Kitty Foyle,1940,108,США,драма,Сэм Вуд,6.8,https://www.kinopoisk.ru/film/26715/
Долгий путь домой,The Long Voyage Home,1940,105,США,драма,Джон Форд,6.3,https://www.kinopoisk.ru/film/1398/
Наш город,Our Town,1940,90,США,драма,Сэм Вуд,5.3,https://www.kinopoisk.ru/film/11217/
Унесённые ветром,Gone with the Wind,1939,222,США,мелодрама,Виктор Флеминг,8.4,https://www.kinopoisk.ru/film/456/
Мистер Смит едет в Вашингтон,Mr. Smith Goes to Washington,1939,129,США,драма,Фрэнк Капра,7.8,https://www.kinopoisk.ru/film/387/
Ниночка,Ninotchka,1939,110,США,мелодрама,Эрнст Любич,7.7,https://www.kinopoisk.ru/film/8254/
Волшебник страны Оз,The Wizard of Oz,1939,101,США,мюзикл,Виктор Флеминг,7.6,https://www.kinopoisk.ru/film/379/
Дилижанс,Stagecoach,1939,96,США,драма,Джон Форд,7.5,https://www.kinopoisk.ru/film/524/
Победить темноту,Dark Victory,1939,104,США,драма,Эдмунд Гулдинг,7.1,https://www.kinopoisk.ru/film/12935/
"До свидания, мистер Чипс","Goodbye, Mr. Chips",1939,114,Великобритания,драма,Сэм Вуд,7.0,https://www.kinopoisk.ru/film/18702/
Грозовой перевал,Wuthering Heights,1939,104,США,драма,Уильям Уайлер,6.9,https://www.kinopoisk.ru/film/8574/
Любовный роман,Love Affair,1939,88,США,драма,Лео МакКери,6.9,https://www.kinopoisk.ru/film/25609/
О мышах и людях,Of Mice and Men,1939,106,США,драма,Льюис Майлстоун,6.8,https://www.kinopoisk.ru/film/3159/
Пигмалион,Pygmalion,1938,96,Великобритания,драма,Энтони Эсквит,7.9,https://www.kinopoisk.ru/film/79497/
Великая иллюзия,La grande illusion,1937,114,Франция,драма,Жан Ренуар,7.8,https://www.kinopoisk.ru/film/473/
С собой не унесешь,You Can't Take It with You,1938,126,США,драма,Фрэнк Капра,7.8,https://www.kinopoisk.ru/film/7677/
Иезавель,Jezebel,1938,104,США,драма,Уильям Уайлер,7.3,https://www.kinopoisk.ru/film/10000/
Летчик-испытатель,Test Pilot,1938,119,США,драма,Виктор Флеминг,7.1,https://www.kinopoisk.ru/film/10446/
Приключения Робин Гуда,The Adventures of Robin Hood,1938,98,США,боевик,Майкл Кёртиц,7.0,https://www.kinopoisk.ru/film/484/
Город мальчиков,Boys Town,1938,96,США,драма,Норман Торог,6.8,https://www.kinopoisk.ru/film/26280/
Цитадель,The Citadel,1938,110,Великобритания,драма,Кинг Видор,6.3,https://www.kinopoisk.ru/film/17360/
Рэгтайм Бэнд Александра,Alexander's Ragtime Band,1938,106,США,мюзикл,Генри Кинг,6.3,https://www.kinopoisk.ru/film/3169/
Четыре дочери,Four Daughters,1938,90,США,драма,Майкл Кёртиц,5.4,https://www.kinopoisk.ru/film/10347/
Потерянный горизонт,Lost Horizon,1937,132,США,фэнтези,Фрэнк Капра,7.4,https://www.kinopoisk.ru/film/8210/
Отважные капитаны,Captains Courageous,1937,117,США,драма,Виктор Флеминг,7.4,https://www.kinopoisk.ru/film/10448/
Дверь на сцену,Stage Door,1937,92,США,драма,Грегори Ла Кава,7.2,https://www.kinopoisk.ru/film/11984/
Ужасная правда,The Awful Truth,1937,90,США,мелодрама,Лео МакКери,7.1,https://www.kinopoisk.ru/film/1015/
Тупик,Dead End,1937,93,США,фильм-нуар,Уильям Уайлер,7.1,https://www.kinopoisk.ru/film/12944/
Звезда родилась,A Star Is Born,1937,111,США,драма,Уильям А. Уэллмен,7.0,https://www.kinopoisk.ru/film/11987/
Жизнь Эмиля Золя,The Life of Emile Zola,1937,116,США,драма,Уильям Дитерле,6.9,https://www.kinopoisk.ru/film/7678/
Сто мужчин и одна девушка,One Hundred Men and a Girl,1937,84,США,драма,Генри Костер,6.8,https://www.kinopoisk.ru/film/11985/
В старом Чикаго,In Old Chicago,1938,95,США,мюзикл,Генри Кинг,6.6,https://www.kinopoisk.ru/film/17860/
Благословенная земля,The Good Earth,1937,138,США,драма,Сидни Франклин,6.3,https://www.kinopoisk.ru/film/38702/
Мистер Дидс переезжает в город,Mr. Deeds Goes to Town,1936,115,США,драма,Фрэнк Капра,7.4,https://www.kinopoisk.ru/film/3372/
Оклеветанная,Libeled Lady,1936,98,США,мелодрама,Джек Конуэй,7.1,https://www.kinopoisk.ru/film/1500/
Сан-Франциско,San Francisco,1936,115,США,драма,В.С. Ван Дайк,7.1,https://www.kinopoisk.ru/film/15697/
Три милые девушки,Three Smart Girls,1936,84,США,мюзикл,Генри Костер,6.9,https://www.kinopoisk.ru/film/26404/
Повесть о Луи Пастере,The Story of Louis Pasteur,1936,86,США,драма,Уильям Дитерле,6.8,https://www.kinopoisk.ru/film/79149/
Повесть о двух городах,A Tale of Two Cities,1935,128,США,драма,Джек Конуэй,6.7,https://www.kinopoisk.ru/film/27330/
Великий Зигфелд,The Great Ziegfeld,1936,186,США,биография,Роберт З. Леонард,6.4,https://www.kinopoisk.ru/film/7679/
Додсворт,Dodsworth,1936,101,США,драма,Уильям Уайлер,6.4,https://www.kinopoisk.ru/film/8578/
Ромео и Джульетта,Romeo and Juliet,1936,125,США,драма,Джордж Кьюкор,6.3,https://www.kinopoisk.ru/film/27203/
Антони-неудачник,Anthony Adverse,1936,141,США,драма,Мервин ЛеРой,5.7,https://www.kinopoisk.ru/film/10353/
Мятеж на Баунти,Mutiny on the Bounty,1935,132,США,драма,Фрэнк Ллойд,7.4,https://www.kinopoisk.ru/film/7680/
Цилиндр,Top Hat,1935,100,США,мюзикл,Марк Сэндрич,7.4,https://www.kinopoisk.ru/film/8325/
Одиссея капитана Блада,Captain Blood,1935,119,США,боевик,Майкл Кёртиц,7.2,https://www.kinopoisk.ru/film/16780/
Сон в летнюю ночь,A Midsummer Night's Dream,1935,133,США,фэнтези,Уильям Дитерле,7.1,https://www.kinopoisk.ru/film/16781/
Осведомитель,The Informer,1935,91,США,драма,Джон Форд,6.9,https://www.kinopoisk.ru/film/18097/
Элис Адамс,Alice Adams,1935,99,США,драма,Джордж Стивенс,6.7,https://www.kinopoisk.ru/film/12581/
Жизнь бенгальского улана,The Lives of a Bengal Lancer,1935,109,США,драма,Генри Хэтэуэй,6.6,https://www.kinopoisk.ru/film/3376/
Отверженные,Les Misérables,1935,108,США,драма,Ричард Болеславский,6.5,https://www.kinopoisk.ru/film/16660/
Дэвид Копперфилд,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",1935,130,США,драма,Джордж Кьюкор,6.4,https://www.kinopoisk.ru/film/10459/
Мелодия Бродвея 1936 года,Broadway Melody of 1936,1935,101,США,мюзикл,Рой Дель Рут,6.2,https://www.kinopoisk.ru/film/18632/
Рагглз из Ред-Геп,Ruggles of Red Gap,1935,90,США,мелодрама,Лео МакКери,6.2,https://www.kinopoisk.ru/film/16661/
Капризная Мариетта,Naughty Marietta,1935,105,США,мюзикл,Роберт З. Леонард,5.7,https://www.kinopoisk.ru/film/17888/
Это случилось однажды ночью,It Happened One Night,1934,105,США,мелодрама,Фрэнк Капра,7.9,https://www.kinopoisk.ru/film/437/
Тонкий человек,The Thin Man,1934,91,США,мелодрама,В.С. Ван Дайк,7.1,https://www.kinopoisk.ru/film/553/
Веселый развод,The Gay Divorcee,1934,107,США,мюзикл,Марк Сэндрич,7.1,https://www.kinopoisk.ru/film/16171/
Имитация жизни,Imitation of Life,1934,111,США,драма,Джон М. Стал,6.7,https://www.kinopoisk.ru/film/15737/
Барреты с Уимпол-стрит,The Barretts of Wimpole Street,1934,109,США,драма,Сидни Франклин,6.3,https://www.kinopoisk.ru/film/16662/
Клеопатра,Cleopatra,1934,100,США,драма,Сесил Б. ДеМилль,6.3,https://www.kinopoisk.ru/film/15738/
Да здравствует Вилья!,Viva Villa!,1934,115,США,вестерн,Джек Конуэй,6.0,https://www.kinopoisk.ru/film/30964/
Дом Ротшильдов,The House of Rothschild,1934,88,США,драма,Альфред Л. Веркер,5.4,https://www.kinopoisk.ru/film/27702/
В дело вступает флот,Here Comes the Navy,1934,87,США,драма,Ллойд Бэйкон,5.4,https://www.kinopoisk.ru/film/31142/
Одна ночь любви,One Night of Love,1934,84,США,мелодрама,Виктор Шерцингер,5.2,https://www.kinopoisk.ru/film/172267/
Дорожка флирта,Flirtation Walk,1934,97,США,мюзикл,Фрэнк Борзеги,4.9,https://www.kinopoisk.ru/film/17865/
Парад белых халатов,The White Parade,1934,80,США,драма,Ирвинг Каммингс,4.8,https://www.kinopoisk.ru/film/27701/
Я — беглый каторжник,I Am a Fugitive from a Chain Gang,1932,92,США,фильм-нуар,Мервин ЛеРой,7.7,https://www.kinopoisk.ru/film/8284/
Маленькие женщины,Little Women,1933,115,США,драма,Джордж Кьюкор,7.0,https://www.kinopoisk.ru/film/15591/
Леди на один день,Lady for a Day,1933,96,США,драма,Фрэнк Капра,6.8,https://www.kinopoisk.ru/film/10793/
Частная жизнь Генриха VIII,The Private Life of Henry VIII,1933,97,Великобритания,драма,Александр Корда,6.8,https://www.kinopoisk.ru/film/16664/
"Прощай, оружие",A Farewell to Arms,1932,80,США,драма,Фрэнк Борзеги,6.7,https://www.kinopoisk.ru/film/3382/
42-я улица,42nd Street,1933,89,США,мюзикл,Ллойд Бэйкон,6.7,https://www.kinopoisk.ru/film/8333/
Она обошлась с ним нечестно,She Done Him Wrong,1933,66,США,мюзикл,Лоуелл Шерман,6.0,https://www.kinopoisk.ru/film/1037/
Нежная улыбка,Smilin' Through,1932,98,США,драма,Сидни Франклин,5.9,https://www.kinopoisk.ru/film/33105/
Кавалькада,Cavalcade,1933,112,США,драма,Фрэнк Ллойд,5.8,https://www.kinopoisk.ru/film/7681/
Ярмарка штата,State Fair,1933,99,США,драма,Генри Кинг,5.5,https://www.kinopoisk.ru/film/21868/
Гранд Отель,Grand Hotel,1932,112,США,драма,Эдмунд Гулдинг,7.3,https://www.kinopoisk.ru/film/7682/
Шанхайский экспресс,Shanghai Express,1932,82,США,фильм-нуар,Джозеф фон Штернберг,7.1,https://www.kinopoisk.ru/film/14033/
Чемпион,The Champ,1931,86,США,драма,Кинг Видор,6.5,https://www.kinopoisk.ru/film/30802/
Улыбающийся лейтенант,The Smiling Lieutenant,1931,93,США,мюзикл,Эрнст Любич,6.2,https://www.kinopoisk.ru/film/15749/
Пять последних звезд,Five Star Final,1931,89,США,драма,Мервин ЛеРой,6.1,https://www.kinopoisk.ru/film/12692/
Один час с тобой,One Hour with You,1932,80,США,мюзикл,Джордж Кьюкор,6.1,https://www.kinopoisk.ru/film/26641/
Доктор Эрроусмит,Arrowsmith,1931,108,США,драма,Джон Форд,6.0,https://www.kinopoisk.ru/film/15422/
Плохая девчонка,Bad Girl,1931,90,США,драма,Фрэнк Борзеги,5.4,https://www.kinopoisk.ru/film/206438/
Первая полоса,The Front Page,1931,101,США,комедия,Льюис Майлстоун,6.1,https://www.kinopoisk.ru/film/12010/
Симаррон,Cimarron,1931,123,США,драма,Уэсли Рагглз,6.1,https://www.kinopoisk.ru/film/7683/
Скиппи,Skippy,1931,85,США,драма,Норман Торог,5.7,https://www.kinopoisk.ru/film/30805/
Ист Линн,East Lynne,1931,102,США,драма,Фрэнк Ллойд,5.2,https://www.kinopoisk.ru/film/62005/
Трейдер Хорн,Trader Horn,1931,122,США,боевик,В.С. Ван Дайк,5.0,https://www.kinopoisk.ru/film/256942/
На Западном фронте без перемен,All Quiet on the Western Front,1930,136,США,драма,Льюис Майлстоун,8.0,https://www.kinopoisk.ru/film/460/
Парад любви,The Love Parade,1929,107,США,мюзикл,Эрнст Любич,6.2,https://www.kinopoisk.ru/film/1523/
Развод,The Divorcee,1930,84,США,драма,Роберт З. Леонард,6.2,https://www.kinopoisk.ru/film/26348/
Казенный дом,The Big House,1930,87,США,триллер,Джордж У. Хилл,6.1,https://www.kinopoisk.ru/film/26347/
Дизраэли,Disraeli,1929,90,США,драма,Альфред Э. Грин,5.2,https://www.kinopoisk.ru/film/81389/
Бродвейская мелодия 1929 года,The Broadway Melody,1929,100,США,мюзикл,Гарри Бомонт,5.9,https://www.kinopoisk.ru/film/7684/
В старой Аризоне,In Old Arizona,1928,95,США,мелодрама,Ирвинг Каммингс,5.7,https://www.kinopoisk.ru/film/69350/
Патриот,The Patriot,1928,113,США,триллер,Эрнст Любич,5.7,https://www.kinopoisk.ru/film/201104/
Голливудское ревю,The Hollywood Revue of 1929,1929,130,США,мюзикл,Чарльз Райснер,5.3,https://www.kinopoisk.ru/film/11371/
Алиби,Alibi,1929,91,США,криминал,Роланд Уэст,5.0,https://www.kinopoisk.ru/film/202605/
Седьмое небо,7th Heaven,1927,110,США,драма,Фрэнк Борзеги,7.1,https://www.kinopoisk.ru/film/32509/
Крылья,Wings,1927,144,США,боевик,Уильям А. Уэллмен,7.0,https://www.kinopoisk.ru/film/3409/
Рэкет,The Racket,1928,84,США,фильм-нуар,Льюис Майлстоун,5.9,https://www.kinopoisk.ru/film/86433/
