Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Манчестер у моря,Manchester by the Sea,2016,137,США,драма,Кеннет Лонерган,7.3,https://www.kinopoisk.ru/film/884376/
Любой ценой,Hell or High Water,2016,102,США,боевик,Дэвид Маккензи,7.2,https://www.kinopoisk.ru/film/726794/
Ограды,Fences,2016,139,США,драма,Дензел Вашингтон,6.9,https://www.kinopoisk.ru/film/735160/
Лунный свет,Moonlight,2016,110,США,драма,Барри Дженкинс,6.2,https://www.kinopoisk.ru/film/939981/
Выживший,The Revenant,2015,156,Гонконг,приключения,Алехандро Гонсалес Иньярриту,7.8,https://www.kinopoisk.ru/film/522941/
Безумный Макс: Дорога ярости,Mad Max: Fury Road,2015,120,Австралия,боевик,Джордж Миллер,7.8,https://www.kinopoisk.ru/film/453406/
Марсианин,The Martian,2015,144,США,фантастика,Ридли Скотт,7.8,https://www.kinopoisk.ru/film/841700/
В центре внимания,Spotlight,2015,129,США,драма,Том Маккарти,7.6,https://www.kinopoisk.ru/film/834394/
Комната,Room,2015,118,Ирландия,триллер,Леонард Абрахамсон,7.6,https://www.kinopoisk.ru/film/798068/
Шпионский мост,Bridge of Spies,2015,142,США,триллер,Стивен Спилберг,7.5,https://www.kinopoisk.ru/film/840884/
Игра на понижение,The Big Short,2015,130,США,драма,Адам Маккей,7.4,https://www.kinopoisk.ru/film/501333/
Бруклин,Brooklyn,2015,117,Ирландия,драма,Джон Краули,7.1,https://www.kinopoisk.ru/film/678550/
Одержимость,Whiplash,2013,106,США,драма,Дэмьен Шазелл,8.4,https://www.kinopoisk.ru/film/725190/
Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,100,США,комедия,Уэс Андерсон,7.9,https://www.kinopoisk.ru/film/683999/
Вселенная Стивена Хокинга,The Theory of Everything,2014,123,Великобритания,биография,Джеймс Марш,7.9,https://www.kinopoisk.ru/film/770973/
Бёрдмэн,Birdman or (The Unexpected Virtue of Ignorance),2014,119,США,драма,Алехандро Гонсалес Иньярриту,7.7,https://www.kinopoisk.ru/film/722827/
Игра в имитацию,The Imitation Game,2014,114,Великобритания,биография,Мортен Тильдум,7.6,https://www.kinopoisk.ru/film/635772/
Отрочество,Boyhood,2014,166,США,драма,Ричард Линклейтер,7.4,https://www.kinopoisk.ru/film/391729/
Снайпер,American Sniper,2014,132,США,боевик,Клинт Иствуд,7.0,https://www.kinopoisk.ru/film/683919/
Сельма,Selma,2014,128,Великобритания,драма,Ава ДюВерней,6.8,https://www.kinopoisk.ru/film/464607/
Волк с Уолл-стрит,The Wolf of Wall Street,2013,180,США,драма,Мартин Скорсезе,8.0,https://www.kinopoisk.ru/film/462682/
Далласский клуб покупателей,Dallas Buyers Club,2013,118,США,драма,Жан-Марк Валле,7.9,https://www.kinopoisk.ru/film/260162/
12 лет рабства,12 Years a Slave,2013,133,Великобритания,драма,Стив МакКуин,7.8,https://www.kinopoisk.ru/film/606646/
Она,Her,2013,126,США,мелодрама,Спайк Джонс,7.7,https://www.kinopoisk.ru/film/577488/
Капитан Филлипс,Captain Phillips,2013,134,США,триллер,Пол Гринграсс,7.6,https://www.kinopoisk.ru/film/484438/
Небраска,Nebraska,2013,115,США,драма,Александр Пэйн,7.6,https://www.kinopoisk.ru/film/582391/
Филомена,Philomena,2013,98,Великобритания,драма,Стивен Фрирз,7.5,https://www.kinopoisk.ru/film/710432/
Гравитация,Gravity,2013,90,США,фантастика,Альфонсо Куарон,7.5,https://www.kinopoisk.ru/film/468466/
Афера по-американски,American Hustle,2013,138,США,драма,Дэвид О. Расселл,6.9,https://www.kinopoisk.ru/film/635177/
Джанго освобожденный,Django Unchained,2012,165,США,вестерн,Квентин Тарантино,8.2,https://www.kinopoisk.ru/film/586397/
Отверженные,Les Misérables,2012,158,Великобритания,мюзикл,Том Хупер,7.9,https://www.kinopoisk.ru/film/566055/
Жизнь Пи,Life of Pi,2012,127,США,фэнтези,Энг Ли,7.8,https://www.kinopoisk.ru/film/158786/
Любовь,Amour,2012,127,Франция,драма,Михаэль Ханеке,7.6,https://www.kinopoisk.ru/film/506239/
Операция «Арго»,Argo,2012,120,Великобритания,триллер,Бен Аффлек,7.5,https://www.kinopoisk.ru/film/462487/
Мой парень — псих,Silver Linings Playbook,2012,120,США,драма,Дэвид О. Расселл,7.2,https://www.kinopoisk.ru/film/462938/
Линкольн,Lincoln,2012,150,США,драма,Стивен Спилберг,6.9,https://www.kinopoisk.ru/film/102122/
Цель номер один,Zero Dark Thirty,2012,157,США,триллер,Кэтрин Бигелоу,6.8,https://www.kinopoisk.ru/film/575332/
Звери дикого Юга,Beasts of the Southern Wild,2012,91,США,драма,Бен Зайтлин,6.7,https://www.kinopoisk.ru/film/656008/
Прислуга,The Help,2011,146,США,драма,Тейт Тейлор,8.2,https://www.kinopoisk.ru/film/470553/
Артист,The Artist,2011,96,Франция,драма,Мишель Хазанавичус,8.0,https://www.kinopoisk.ru/film/539550/
Полночь в Париже,Midnight in Paris,2011,94,США,фэнтези,Вуди Аллен,7.8,https://www.kinopoisk.ru/film/504465/
"Человек, который изменил всё",Moneyball,2011,133,США,драма,Беннетт Миллер,7.7,https://www.kinopoisk.ru/film/432791/
Боевой конь,War Horse,2011,146,США,боевик,Стивен Спилберг,7.7,https://www.kinopoisk.ru/film/492174/
Жутко громко и запредельно близко,Extremely Loud & Incredibly Close,2011,129,США,драма,Стивен Долдри,7.6,https://www.kinopoisk.ru/film/195432/
Хранитель времени,Hugo,2011,126,США,драма,Мартин Скорсезе,6.9,https://www.kinopoisk.ru/film/462247/
Потомки,The Descendants,2011,115,США,драма,Александр Пэйн,6.9,https://www.kinopoisk.ru/film/395369/
Древо жизни,The Tree of Life,2010,139,США,фэнтези,Терренс Малик,6.6,https://www.kinopoisk.ru/film/256408/
Начало,Inception,2010,148,США,фантастика,Кристофер Нолан,8.7,https://www.kinopoisk.ru/film/447301/
Король говорит!,The King's Speech,2010,118,Великобритания,драма,Том Хупер,8.0,https://www.kinopoisk.ru/film/485311/
История игрушек: Большой побег,Toy Story 3,2010,103,США,мультфильм,Ли Анкрич,7.9,https://www.kinopoisk.ru/film/258328/
Боец,The Fighter,2010,114,США,драма,Дэвид О. Расселл,7.8,https://www.kinopoisk.ru/film/279580/
Чёрный лебедь,Black Swan,2010,103,США,драма,Даррен Аронофски,7.7,https://www.kinopoisk.ru/film/278273/
Социальная сеть,The Social Network,2010,120,США,драма,Дэвид Финчер,7.7,https://www.kinopoisk.ru/film/427198/
127 часов,127 Hours,2010,93,Великобритания,триллер,Дэнни Бойл,7.7,https://www.kinopoisk.ru/film/484878/
Железная хватка,True Grit,2010,110,США,вестерн,Итан Коэн,7.6,https://www.kinopoisk.ru/film/462553/
Детки в порядке,The Kids Are All Right,2010,106,США,драма,Лиза Холоденко,6.6,https://www.kinopoisk.ru/film/261376/
Зимняя кость,Winter's Bone,2010,100,США,драма,Дебра Граник,6.5,https://www.kinopoisk.ru/film/455627/
Невидимая сторона,The Blind Side,2009,129,США,драма,Джон Ли Хэнкок,8.2,https://www.kinopoisk.ru/film/450213/
Вверх,Up,2009,96,США,мультфильм,Пит Доктер,8.0,https://www.kinopoisk.ru/film/325381/
Бесславные ублюдки,Inglourious Basterds,2009,153,Германия,боевик,Квентин Тарантино,8.0,https://www.kinopoisk.ru/film/9691/
Аватар,Avatar,2009,162,США,фантастика,Джеймс Кэмерон,8.0,https://www.kinopoisk.ru/film/251733/
Район №9,District 9,2009,112,ЮАР,фантастика,Нил Бломкамп,7.8,https://www.kinopoisk.ru/film/397494/
Воспитание чувств,An Education,2008,100,Великобритания,драма,Лоне Шерфиг,7.4,https://www.kinopoisk.ru/film/404414/
Мне бы в небо,Up in the Air,2009,109,США,драма,Джейсон Райтман,7.3,https://www.kinopoisk.ru/film/464130/
Повелитель бури,The Hurt Locker,2008,126,США,триллер,Кэтрин Бигелоу,7.3,https://www.kinopoisk.ru/film/281040/
Сокровище,Precious,2009,110,США,драма,Ли Дэниелс,7.2,https://www.kinopoisk.ru/film/397952/
Серьёзный человек,A Serious Man,2009,106,Великобритания,драма,Итан Коэн,6.9,https://www.kinopoisk.ru/film/416275/
Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,2008,166,США,драма,Дэвид Финчер,8.1,https://www.kinopoisk.ru/film/81555/
Чтец,The Reader,2008,124,США,драма,Стивен Долдри,8.0,https://www.kinopoisk.ru/film/325439/
Миллионер из трущоб,Slumdog Millionaire,2008,120,Великобритания,криминал,Дэнни Бойл,7.8,https://www.kinopoisk.ru/film/413362/
Фрост против Никсона,Frost/Nixon,2008,122,Великобритания,драма,Рон Ховард,7.6,https://www.kinopoisk.ru/film/309328/
Харви Милк,Milk,2008,128,США,драма,Гас Ван Сент,7.1,https://www.kinopoisk.ru/film/395773/
Искупление,Atonement,2007,120,Великобритания,драма,Джо Райт,8.0,https://www.kinopoisk.ru/film/255611/
Нефть,There Will Be Blood,2007,158,США,драма,Пол Томас Андерсон,7.8,https://www.kinopoisk.ru/film/196604/
Старикам тут не место,No Country for Old Men,2007,122,США,триллер,Итан Коэн,7.8,https://www.kinopoisk.ru/film/195434/
Джуно,Juno,2007,96,США,драма,Джейсон Райтман,7.2,https://www.kinopoisk.ru/film/197488/
Майкл Клейтон,Michael Clayton,2007,119,США,триллер,Тони Гилрой,6.7,https://www.kinopoisk.ru/film/104945/
Отступники,The Departed,2006,151,США,криминал,Мартин Скорсезе,8.5,https://www.kinopoisk.ru/film/81314/
Письма с Иводзимы,Letters from Iwo Jima,2006,141,США,драма,Клинт Иствуд,7.6,https://www.kinopoisk.ru/film/252260/
Вавилон,Babel,2006,143,США,драма,Алехандро Гонсалес Иньярриту,7.6,https://www.kinopoisk.ru/film/102125/
Королева,The Queen,2005,103,Великобритания,драма,Стивен Фрирз,7.5,https://www.kinopoisk.ru/film/161917/
Маленькая мисс Счастье,Little Miss Sunshine,2006,101,США,драма,Джонатан Дэйтон,7.5,https://www.kinopoisk.ru/film/164089/
